City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
269,Wolfen,DE,42.71,overcast clouds,51.6667,12.2833,BIG-Reisehotel
272,Brae,GB,52.3,broken clouds,60.3964,-1.353,Busta House Hotel
276,Half Moon Bay,US,54.91,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
284,Chama,CH,47.07,overcast clouds,47.1821,8.4636,City Garden Hotel
286,Fort Smith,US,44.64,overcast clouds,35.3859,-94.3986,Hampton Inn Fort Smith
301,Hofn,IS,42.48,overcast clouds,64.2539,-15.2082,Hótel Höfn
304,Carballo,ES,55.87,clear sky,43.213,-8.691,Pazo do Souto
307,Hamina,FI,51.08,overcast clouds,60.5697,27.1979,SpaHotel Hamina
311,Marystown,CA,42.85,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
315,Waddan,LY,58.59,clear sky,29.1614,16.139,محل الشريف محمد العايب
316,Darfield,GB,54.25,broken clouds,53.5339,-1.376,Premier Inn Barnsley (Dearne Valley) hotel
319,Konza,KE,58.23,overcast clouds,-1.7426,37.1294,Camp Howl
324,Viedma,AR,55.76,overcast clouds,-40.8135,-62.9967,Hotel Cristal
328,Coquimbo,CL,56.93,clear sky,-29.9533,-71.3436,Hotel San Juan
330,Leshan,CN,58.87,overcast clouds,29.5623,103.7639,Leshan Haiyun International Youth Hostel
332,Laguna,US,52.32,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
333,Bridgewater,CA,58.1,light rain,44.3835,-64.5155,Days Inn by Wyndham Bridgewater Conference Center
343,Moissac,FR,59.47,clear sky,44.1024,1.0945,Hôtel & Spa Le Moulin De Moissac
359,Comodoro Rivadavia,AR,55.26,light rain,-45.8667,-67.5,Austral Hotel
361,Huesca,ES,59.05,clear sky,42.1362,-0.4087,Hotel Sancho Abarca SPA Huesca
378,Fortuna,US,48.65,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
379,Grindavik,IS,43.27,moderate rain,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
380,Marondera,ZW,57.36,broken clouds,-18.1853,31.5519,Mashonganyika Cottage
385,Hastings,GB,56.52,overcast clouds,50.8552,0.5729,Zanzibar Hotel
389,Ridgecrest,US,46.26,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
392,Tuatapere,NZ,58.62,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
396,Vila,PT,47.28,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
404,Dunedin,NZ,59.81,few clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
409,Sitka,US,40.89,light rain,57.0531,-135.33,Westmark Sitka
423,Pine Bluff,US,51.73,overcast clouds,34.2284,-92.0032,"Holiday Inn Express & Suites Pine Bluff, an IHG Hotel"
425,Donzdorf,DE,42.98,overcast clouds,48.6854,9.8105,Hotel Becher
431,Helong,CN,58.51,moderate rain,42.5397,128.9972,Helong Hotel
442,Del Rio,US,53.71,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
447,Sabha,LY,57.74,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
448,Briancon,FR,44.35,scattered clouds,44.9,6.65,Auberge de la Paix
450,Bullhead City,US,58.86,clear sky,35.1478,-114.5683,Harrah’s Laughlin Beach Resort & Casino
466,Ivanava,BY,43.29,overcast clouds,52.1451,25.5365,Bed&Breakfast Valeria
468,Changping,CN,51.44,broken clouds,40.2186,116.2197,Huachang Hotel
469,Lasa,IT,49.33,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
475,Skagen,DK,56.41,overcast clouds,57.7209,10.5839,Ruth's Hotel
480,Wuwei,CN,41.04,scattered clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
484,Ginir,ET,56.98,overcast clouds,7.1333,40.7,Sura Dare Village
495,Kungsbacka,SE,57.74,overcast clouds,57.4872,12.0761,Hotell Halland AB
500,Melfi,IT,50.47,overcast clouds,40.9965,15.6514,HOTEL TERME DI RAPOLLA
502,Challapata,BO,44.55,scattered clouds,-18.9,-66.7667,HOSTAL MARIAN
510,Sevlievo,BG,52.0,overcast clouds,43.0258,25.1136,Incanto Hotel
