City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Bethel,US,41.3712,-73.414,69.78,88,100,5.99,overcast clouds
128,Narsaq,GL,60.9167,-46.05,21.42,93,100,2.39,overcast clouds
129,Nuevitas,CU,21.5453,-77.2644,75.7,81,100,2.08,overcast clouds
130,Whitehorse,CA,60.7161,-135.0538,26.02,95,100,6.4,overcast clouds
131,Alice Springs,AU,-23.7,133.8833,90.95,38,35,17.27,scattered clouds
132,Puerto Colombia,CO,10.9878,-74.9547,80.69,81,100,13.33,light rain
133,Kerewan,GM,13.4898,-16.0888,73.62,67,91,6.67,overcast clouds
134,Namatanai,PG,-3.6667,152.4333,82.09,77,98,7.47,light rain
135,Hermanus,ZA,-34.4187,19.2345,58.8,79,0,8.01,clear sky
136,Oranjemund,NA,-28.55,16.4333,58.24,81,50,7.76,scattered clouds
137,Alta Floresta,BR,-9.8756,-56.0861,70.0,98,90,2.62,overcast clouds
138,North Bend,US,43.4065,-124.2243,47.16,95,100,9.22,overcast clouds
139,Ambon,ID,-3.6954,128.1814,87.94,70,40,3.44,scattered clouds
140,Mackay,AU,-21.15,149.2,88.68,59,0,9.1,clear sky
141,Svetlaya,RU,46.5389,138.3297,48.13,55,100,7.25,overcast clouds
142,Komsomolskiy,UZ,40.4272,71.7189,36.32,87,100,4.61,mist
143,Talnakh,RU,69.4865,88.3972,-16.8,96,35,2.98,scattered clouds
144,Vanimo,PG,-2.6741,141.3028,85.21,71,75,6.4,broken clouds
145,Ximei,CN,24.9639,118.3794,86.31,48,0,0.56,clear sky
146,Ulladulla,AU,-35.35,150.4667,69.1,74,50,8.21,scattered clouds
147,Tabuk,PH,17.4189,121.4443,85.21,70,3,2.24,clear sky
148,Kavaratti,IN,10.5669,72.642,82.69,53,100,4.81,moderate rain
149,Arraial Do Cabo,BR,-22.9661,-42.0278,72.72,94,100,12.93,light rain
150,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,55,0,8.99,clear sky
151,Port Moresby,PG,-9.4431,147.1797,85.62,66,100,14.65,overcast clouds
152,Faanui,PF,-16.4833,-151.75,78.84,73,89,2.93,overcast clouds
153,Road Town,VG,18.4167,-64.6167,80.69,74,1,14.38,clear sky
154,Jamestown,US,42.097,-79.2353,59.05,73,100,4.61,moderate rain
155,Juneau,US,58.3019,-134.4197,37.22,97,75,11.5,broken clouds
156,Yellowknife,CA,62.456,-114.3525,25.32,86,100,14.97,light shower snow
157,Papar,MY,5.7333,115.9333,86.0,70,23,3.31,few clouds
158,Honningsvag,NO,70.9821,25.9704,33.55,93,100,2.3,overcast clouds
159,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,77,2,7.56,clear sky
160,Bontang,ID,0.1333,117.5,84.83,70,100,2.98,overcast clouds
