City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
40,Limbang,MY,2022-11-09 22:34:22,4.75,115.0,77.11,94,69,1.66
41,Cottbus,DE,2022-11-09 22:34:22,51.7667,14.3333,52.61,85,100,1.99
42,Dikson,RU,2022-11-09 22:33:08,73.5069,80.5464,-0.02,94,62,2.1
43,Qui Nhon,VN,2022-11-09 22:30:04,13.7667,109.2333,74.44,93,100,8.75
44,Roebourne,AU,2022-11-09 22:31:04,-20.7833,117.1333,70.95,47,0,16.93
45,Avarua,CK,2022-11-09 22:33:57,-21.2078,-159.775,78.85,69,40,12.66
46,Chimore,BO,2022-11-09 22:35:23,-16.9833,-65.1333,82.74,49,86,2.77
47,Kodiak,US,2022-11-09 22:35:23,57.79,-152.4072,35.11,93,100,25.32
48,Cabra,ES,2022-11-09 22:35:24,37.4725,-4.4421,55.44,84,0,3.74
49,Padang,ID,2022-11-09 22:33:20,-0.9492,100.3543,76.39,88,100,2.06
50,Harer,ET,2022-11-09 22:35:24,9.3094,42.1258,58.86,83,55,1.25
51,Labrea,BR,2022-11-09 22:35:25,-7.2586,-64.7981,84.52,56,92,2.48
52,Chapais,CA,2022-11-09 22:35:25,49.7834,-74.8492,29.98,57,100,13.4
53,Hermanus,ZA,2022-11-09 22:35:25,-34.4187,19.2345,56.8,63,91,11.7
54,Rikitea,PF,2022-11-09 22:35:26,-23.1203,-134.9692,73.31,86,100,9.44
55,Cesis,LV,2022-11-09 22:35:26,57.3119,25.2746,46.71,91,100,9.46
56,Severo-Kurilsk,RU,2022-11-09 22:35:27,50.6789,156.125,35.42,68,39,9.01
57,Fort-Shevchenko,KZ,2022-11-09 22:35:27,44.5086,50.263,45.1,66,15,10.56
58,San Cristobal,VE,2022-11-09 22:35:27,7.7669,-72.225,73.58,99,100,0.69
59,Saint-Philippe,RE,2022-11-09 22:35:28,-21.3585,55.7679,69.39,79,71,7.78
60,Paracatu,BR,2022-11-09 22:35:28,-17.2222,-46.8747,74.5,64,64,3.06
61,Airai,TL,2022-11-09 22:35:29,-8.9266,125.4092,66.29,78,67,1.61
62,Shatalovo,RU,2022-11-09 22:35:29,54.334,32.4465,44.85,94,100,11.92
63,Jinchang,CN,2022-11-09 22:35:29,38.4953,102.1739,40.3,65,4,9.69
64,Lata,PT,2022-11-09 22:35:30,40.1629,-8.3327,58.08,94,14,2.28
65,Beloha,MG,2022-11-09 22:35:30,-25.1667,45.05,73.17,82,21,4.63
66,Daru,PG,2022-11-09 22:35:30,-9.0763,143.2092,82.15,72,100,14.34
67,Marquette,US,2022-11-09 22:34:25,46.5333,-87.6335,48.83,92,100,8.39
